"","data.lens_id","data.title","data.publication_type","data.year_published","first_name","last_name","initials","type","value","Author"
"1","118-968-501-495-114","Differentiation of spring carabid beetle assemblages between semi-natural habitats and adjoining winter wheat.","journal article",2015,"Muhammad","Anjum‐Zubair","M","magid","2432178546","Anjum‐Zubair, M"
"2","014-420-425-932-76X","Influence of within-field position and adjoining habitat on carabid beetle assemblages in winter wheat.","journal article",2010,"M.","Anjum‐Zubair","M","magid","1969021398","Anjum‐Zubair, M"
"3","025-983-895-963-761","Factors influencing the plant and invertebrate diversity of arable field margins.","journal article",2004,"E.J","Asteraki","EJ","magid","2869471838","Asteraki, EJ"
"4","011-789-039-750-846","The influence of different types of grassland field margin on carabid beetle (Coleoptera, Carabidae) communities","journal article",1995,"E. J.","Asteraki","EJ","magid","2638401467","Asteraki, EJ"
"5","066-696-436-185-636","Effects of Swiss agri-environmental measures on arthropod biodiversity in arable landscapes","journal article",2007,"S.","Aviron","S","magid","3062457481","Aviron, S"
"6","004-703-632-577-796","Effects of Wildflower Strip Quality, Quantity, and Connectivity on Butterfly Diversity in a Swiss Arable Landscape","journal article",2010,"Stéphanie","Aviron","S","magid","51778602","Aviron, S"
"7","095-548-579-063-991","Impact of different land uses on the migration of two herbicides in a silt loam soil : unsaturated soil column displacement studies","journal article",2007,"P.","Benoit","P","magid","3206497951","Benoit, P"
"8","094-049-137-663-313","Isoproturon Sorption and Degradation in a Soil from Grassed Buffer Strip","journal article",1999,"Pierre","Benoit","P","magid","2164587776","Benoit, P"
"9","146-411-085-161-883","DEGRADACIÓN DE PLAGUICIDAS EN DISPOSITIVOS AMORTIGUADORES: BARRERAS DE HIERBA Y ZONAS ARBOLADAS: CASO DEL ISOPROTURON PESTICIDE DEGRADATION IN VEGETATIVE BUFFER STRIPS: GRASSED AND TREE BARRIERS: CASE OF ISOPROTURON",NA,2007,"Pierre","Benoit","P","magid","3206018185","Benoit, P"
"10","048-697-400-170-792","Dispersal and persistence of mass released Trichogramma brassicae (Hymenoptera: Trichogrammatidae) in non-target habitats","journal article",2003,"Franz","Bigler","F","magid","2086633639","Bigler, F"
"11","028-138-500-313-846","Surveying of pollen-mediated crop-to-crop gene flow from a wheat field trial as a biosafety measure","journal article",2012,"Franz","Bigler","F","magid","3035619222","Bigler, F"
"12","096-197-889-670-548","A model to evaluate windbreak protection efficiency","journal article",1995,"James R.","Brandle","JR","magid","1962060530","Brandle, JR"
"13","074-902-318-460-582","Bean Leaf Beetle (Coleoptera: Chrysomelidae) Abundance in Soybean Fields Protected and Unprotected by Shelterbelts","journal article",2000,"James R.","Brandle","JR","magid","1962060530","Brandle, JR"
"14","054-142-450-794-649","Change in filter strip performance over ten years","journal article",2007,"James R.","Brandle","JR","magid","1962060530","Brandle, JR"
"15","100-381-410-629-790","Effects of Shelterbelts on the Aerial Distribution of Insect Pests in Muskmelon","journal article",1997,"James R.","Brandle","JR","magid","1962060530","Brandle, JR"
"16","008-409-969-174-333","Growth and Yield of Snap Beans as Affected by Wind Protection and Microclimate Changes due to Shelterbelts and Planting Dates","journal article",2004,"James R.","Brandle","JR","magid","1962060530","Brandle, JR"
"17","071-566-691-025-520","Influence of Windbreak-Shelter on Light Interception, Stomatal Conductance, and CO 2 -Exchange Rate of Soybeans, Glycine max (Linnaeus) Merrill",NA,1981,"J. R.","Brandle","JR","magid","3012274858","Brandle, JR"
"18","050-463-567-782-280","Soil carbon and tree litter dynamics in a red cedar–scotch pine shelterbelt","journal article",2007,"James R.","Brandle","JR","magid","1962060530","Brandle, JR"
"19","012-567-135-978-958","Higher-tier agri-environment scheme enhances breeding densities of some priority farmland birds in England","journal article",2015,"Jennifer A.","Bright","JA","magid","2127488183","Bright, JA"
"20","048-380-117-228-260","Influence of agri-environment scheme options on territory settlement by Yellowhammer (Emberiza citronella) and Corn Bunting (Emberiza calandra)","journal article",2015,"Jenny A.","Bright","JA","magid","2762875851","Bright, JA"
"21","045-620-103-017-957","Insects on farmland and their importance to granivorous birds","dissertation",2004,"Jennifer Anne","Bright","JA","magid","2095964347","Bright, JA"
"22","022-549-457-076-862","An agri-environmental scheme enhances butterfly dispersal in European agricultural landscapes","journal article",2013,"Françoise","Burel","F","magid","2277833683","Burel, F"
"23","058-724-460-245-008","Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators","journal article",2012,"Françoise","Burel","F","magid","2277833683","Burel, F"
