"","data.lens_id","data.title","data.publication_type","data.year_published","first_name","last_name","initials","type","value","Author"
"1","091-265-753-392-171","'Beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat","journal article",2004,"Alan","MacLeod","A","magid","2293860217","MacLeod, A"
"2","091-265-753-392-171","'Beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat","journal article",2004,"Stephen D.","Wratten","SD","magid","2083225834","Wratten, SD"
"3","091-265-753-392-171","'Beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat","journal article",2004,"Nicolas W.","Sotherton","NW","magid","2554417526","Sotherton, NW"
"4","091-265-753-392-171","'Beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat","journal article",2004,"Matthew B.","Thomas","MB","magid","2135687599","Thomas, MB"
"5","048-719-607-506-77X","1H and 13C NMR spectroscopic studies of hexane-extractable lipids from soils under shelterbelts of different age and composition of plants","journal article",2014,"Lech Wojciech","Szajdak","LW","magid","54908943","Szajdak, LW"
"6","048-719-607-506-77X","1H and 13C NMR spectroscopic studies of hexane-extractable lipids from soils under shelterbelts of different age and composition of plants","journal article",2014,"Victoria","Maryganova","V","magid","2029256312","Maryganova, V"
"7","048-719-607-506-77X","1H and 13C NMR spectroscopic studies of hexane-extractable lipids from soils under shelterbelts of different age and composition of plants","journal article",2014,"E. D.","Skakovskii","ED","magid","1901048472","Skakovskii, ED"
"8","048-719-607-506-77X","1H and 13C NMR spectroscopic studies of hexane-extractable lipids from soils under shelterbelts of different age and composition of plants","journal article",2014,"Ludmila","Tychinskaya","L","magid","2319710430","Tychinskaya, L"
"9","026-135-254-635-252","A 3-year field-scale monitoring of foliage-dwelling spiders (Araneae) in transgenic Bt maize fields and adjacent field margins","journal article",2006,"Claudia","Ludy","C","magid","2668440904","Ludy, C"
"10","026-135-254-635-252","A 3-year field-scale monitoring of foliage-dwelling spiders (Araneae) in transgenic Bt maize fields and adjacent field margins","journal article",2006,"Andreas","Lang","A","magid","2714486801","Lang, A"
"11","003-815-496-301-575","A 5‐year comparison of overwintering polyphagous predator densities within a beetle bank and two conventional hedgebanks","journal article",2003,"K.L.","Collins","KL","magid","2016531905","Collins, KL"
"12","003-815-496-301-575","A 5‐year comparison of overwintering polyphagous predator densities within a beetle bank and two conventional hedgebanks","journal article",2003,"Nigel","Boatman","N","magid","2035855166","Boatman, N"
"13","003-815-496-301-575","A 5‐year comparison of overwintering polyphagous predator densities within a beetle bank and two conventional hedgebanks","journal article",2003,"Andrew","Wilcox","A","magid","2919412541","Wilcox, A"
"14","003-815-496-301-575","A 5‐year comparison of overwintering polyphagous predator densities within a beetle bank and two conventional hedgebanks","journal article",2003,"John M.","Holland","JM","magid","2202365680","Holland, JM"
"15","107-419-964-775-170","A Farm-Scale Test of Nitrogen Assimilation by Vegetated Buffer Systems Receiving Swine Lagoon Effluent by Overland Flow","journal article",2007,"Robert K.","Hubbard","RK","magid","2146045434","Hubbard, RK"
"16","107-419-964-775-170","A Farm-Scale Test of Nitrogen Assimilation by Vegetated Buffer Systems Receiving Swine Lagoon Effluent by Overland Flow","journal article",2007,"G. L.","Newton","GL","magid","2708341057","Newton, GL"
"17","107-419-964-775-170","A Farm-Scale Test of Nitrogen Assimilation by Vegetated Buffer Systems Receiving Swine Lagoon Effluent by Overland Flow","journal article",2007,"J. M.","Ruter","JM","magid","3207966551","Ruter, JM"
"18","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"Marius","Heinen","M","magid","2310590729","Heinen, M"
"19","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"I.G.A.M.","Noij","IGAM","magid","2303303740","Noij, IGAM"
"20","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"Hanneke I. M.","Heesmans","HIM","magid","2288286595","Heesmans, HIM"
"21","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"Jan Willem","van Groenigen","JW","magid","27522524","van Groenigen, JW"
"22","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"Piet","Groenendijk","P","magid","3166005105","Groenendijk, P"
"23","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"Jac T. N. M.","Thissen","JTNM","magid","3056006719","Thissen, JTNM"
"24","093-517-933-508-881","A Stable Isotope Tracer Study of the Influences of Adjacent Land Use and Riparian Condition on Fates of Nitrate in Streams","journal article",2011,"Daniel J.","Sobota","DJ","magid","2304513109","Sobota, DJ"
"25","093-517-933-508-881","A Stable Isotope Tracer Study of the Influences of Adjacent Land Use and Riparian Condition on Fates of Nitrate in Streams","journal article",2011,"Sherri L.","Johnson","SL","magid","2130399892","Johnson, SL"
"26","093-517-933-508-881","A Stable Isotope Tracer Study of the Influences of Adjacent Land Use and Riparian Condition on Fates of Nitrate in Streams","journal article",2011,"Stan V.","Gregory","SV","magid","2160934641","Gregory, SV"
"27","093-517-933-508-881","A Stable Isotope Tracer Study of the Influences of Adjacent Land Use and Riparian Condition on Fates of Nitrate in Streams","journal article",2011,"Linda R.","Ashkenas","LR","magid","347887442","Ashkenas, LR"
"28","047-022-834-071-036","A comparison of green lanes and field margins as bumblebee habitat in an arable landscape","journal article",2002,"Philip J.","Croxton","PJ","magid","2228367754","Croxton, PJ"
"29","047-022-834-071-036","A comparison of green lanes and field margins as bumblebee habitat in an arable landscape","journal article",2002,"Claire","Carvell","C","magid","2196564994","Carvell, C"
"30","047-022-834-071-036","A comparison of green lanes and field margins as bumblebee habitat in an arable landscape","journal article",2002,"J. O.","Mountford","JO","magid","2649586665","Mountford, JO"
