Item.ID,Short.Title,Title.x,Year,Period,Google.Scholar.link,Vegetated.strip.description.info,Nation,Study.country,Study.location,Latitude,Longitude,all_outcomes_subcat,all_outcomes_group,Observational,Manipulative,Study.length..years.,Time.since.intervention..years.,Plot.scale,Field.scale,Farm.scale,Catchment.scale,Regional.scale,Not.described,Q1,Q2,Q3,Q4,Not.described.2,Conventional,Organic,Not.described.3,Livestock,Livestock.info,Cropped.fields..arable.,Cropped.fields..arable..info,Horticulture,Horticulture.info,Viticulture,Viticulture.info,Fruit..orchard.,Fruit..orchard..info,Grassland,Grassland.info,Other..please.specify.,Other..please.specify..2,Not.described.4,Not.described.info,Grasses,Grasses.info,Wildflowers,Wildflowers.info,Shrubs,Shrubs2,Hedgerow,Hedgerow.info,Trees,Trees.info,Other..please.specify..3,Other..please.specify..info,Not.described.5,Not.described.info.2,Within.field,Field.edge,Riparian,Not.described.6,Unmanaged,Unmanaged.info,Soil.amendment,Soil.amendment.info,Soil.disturbed,Soil.disturbed.info,Cut,Cut.info,Grazed,Grazed.info,Harvested,Harvested.info,Sown.planted,Sown.planted.info,Pesticide,Pesticide.info,Managed..other.,Managed..other..info,Not.described.7,Not.described.info.3,Strip.presence,Strip.presence.info,Strip.location,Strip.location.info,Strip.type..dimension.,Strip.type..dimension..info,Strip.type..structure.,Strip.type..structure..info,Strip.management,Strip.management.info,Vegetation.type,Vegetation.type.info,Response.to.management,Response.to.management.info,Other..please.specify..4,Other..please.specify..info.2,Transect.into.field.across.vegetative.strip,Transect.into.field.across.vegetative.strip.info,Not.described.8,Not.described.info.4,Biodiversity..aquatic.,Biodiversity..aquatic..info,Biodiversity..semi.aquatic.,Biodiversity..semi.aquatic..info,Biodiversity..terrestrial.,Biodiversity..terrestrial..info,Pollination,Pollination.info,Game.species,Game.species.info,Pest.control,Pest.control.info,Nutrients.N,Nutrients.N.info,Nutrients.P,Nutrients.P.info,Soil.loss.retention,Soil.loss.retention.info,Soil.sediment..chemical..not.N.P.,Soil.sediment..chemical..not.N.P..info,Water.chemistry.quality..not.N.P.,Water.chemistry.quality..not.N.P..info,Soil.sediment..physical.,Soil.sediment..physical..info,Water.loss.retention,Water.loss.retention.info,Economic..farming.,Economic..farming..info,GHGs,GHGs.info,Pesticides,Pesticides.info,Toxins,Toxins.info,Wind,Wind.info,GM.pollen,GM.pollen.info,Crop.yield.farming.outputs,Crop.yield.farming.outputs.info,Social,Social.info,Recreation,Recreation.info,Other..please.specify..5,Other..please.specify..info.3,Pathogens,Pathogens.info,Non.crop.yield,Non.crop.yield.info,Light,Light.info,Physical.habitat,Physical.habitat.info,Climate.microclimate,Climate.microclimate.info,Microbes,Microbes.info,Organism.physiology.condition,Organism.physiology.condition.info,Food,Fresh.water,Fibre.and.fuel,Biochemical.products,Genetic.materials,Climate.regulation,Hydrological.regimes,Pollution.control,Erosion.protection,Natural.hazards,Pest.regulation,Nutrient.cycling,Spiritual.and.inspirational,Recreational,Aesthetic,Educational,Biodiversity,Pollination2,Soil.formation,Comments,lensID,Title.y,data.abstract,distance
20641984,MacLeod (2004),'beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat,2004,2000-2004,http://scholar.google.co.uk/scholar?q='Beetle+banks'+as+refuges+for+beneficial+arthropods+in+farmland:+long-term+changes+in+predator+commu&btnG=&hl=en&as_sdt=0%2C5,Beetle bank,UK,UK,North Hampshire,51.08503,-1.310407,Biodiversity (terrestrial);Pest control,Biodiversity;Human use,,Manipulative,7,7,Plot scale,,,,,,Q1,,,Q4,,,,Not described,,,Cropped fields (arable),,,,,NA,,,,,,,,,Grasses,"""single-species plots of the grasses Agrostis stolonifera L. sown at 8 g/m 2 , Dactylis glomerata L. (3 g/m 2 ), Holcus lanatus L. (4 g/m 2 ) and Lolium perenne L. (3 g/m 2 ); a 25 % mix by seed weight of each of the previous four grasses; a 33 % mix by seed weight of D. glomerata, H. lanatus and L. perenne ; and a bare-ground treatmen""",,,,,,,,,,,,,Within field,,,,,,,,,,,,,,,,Sown/planted,,,,,,,,,,,,,,,,,,Vegetation type,"""single-species plots of the grasses Agrostis stolonifera L. sown at 8 g/m 2 , Dactylis glomerata L. (3 g/m 2 ), Holcus lanatus L. (4 g/m 2 ) and Lolium perenne L. (3 g/m 2 ); a 25 % mix by seed weight of each of the previous four grasses; a 33 % mix by seed weight of D. glomerata, H. lanatus and L. perenne ; and a bare-ground treatmen""",,,,,Transect into field/across vegetative strip,,,NA,,,,,Biodiversity (terrestrial),Polyphagous arthtopod predator density,,,,,Pest control,Polyphagous arthtopod predator density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,Pest regulation,,,,,NA,Biodiversity,,,,091-265-753-392-171,'beetle banks' as refuges for beneficial arthropods in farmland: long-term changes in predator communities and habitat,"Significant differences in the overwintering densities of predatory carabid and staphylinid beetles and spiders occurred on an 'island' grassy bank habitat composed of blocks of Agrostis stolonifera, Dactylis glomerata, Holcus lanatus and Lolium perenne, within and between winters during a 7-year study. 2 Densities of the predators over the last three winters of the study were greater in the bank than in the boundary of the field in which the bank was situated. 3 Succession occurred in plots of L. perenne, with D. glomerata fully replacing this species. Plots of D. glomerata and H. lanatus remained virtually mono- specific. 4 Over the period of study, the beetle bank maintained its role in providing overwintering habitat for polyphagous predators and carabid diversity has increased since the bank was first established. Beetle banks were therefore shown to contribute to conservation biodiversity in an agroecosystem.",0
20642377,Szajdak (2015),1h and 13c nmr spectroscopic studies of hexane-extractable lipids from soils under shelterbelts of different age and composition of plants,2015,2015-2016,http://scholar.google.co.uk/scholar?q=1H+and+13C+NMR+spectroscopic+studies+of+hexane-extractable+lipids+from+soils+under+shelterbelts+of+d&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Poland,Poland,"Dezydery Chłapowski Agroecological Landscape Park in Turew (52 01 N, 16 45 E)",52.058832,16.826234,"Soil/sediment (chemical, not N/P)",Soil chemistry,Observational,,<1,200,,Field scale,,,,,,,,,Not described,,,Not described,,,Cropped fields (arable),,,,,NA,,,,,,,,,,,,,,,,,Trees,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,Other (please specify),Age,Transect into field/across vegetative strip,,,NA,,,,,,,,,,,,,,,,,,,"Soil/sediment (chemical, not N/P)","Soil pH, total organic carbon, dissolved organic carbon, and total lipid content and composition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,Nutrient cycling,,,,NA,,,Soil formation,,048-719-607-506-77X,1h and 13c nmr spectroscopic studies of hexane-extractable lipids from soils under shelterbelts of different age and composition of plants,NA,0
20641974,Ludy (2006),a 3-year field-scale monitoring of foliage-dwelling spiders (araneae) in transgenic bt maize fields and adjacent field margins,2006,2005-2009,http://scholar.google.co.uk/scholar?q=A+3-year+field-scale+monitoring+of+foliage-dwelling+spiders+(Araneae)+in+transgenic+Bt+maize+fields+&btnG=&hl=en&as_sdt=0%2C5,Field margin,Germany,Germany,"Swabia, Frankonia and Upper Bavaria",50.850273,9.066284,Biodiversity (terrestrial),Biodiversity,,Manipulative,3,Not stated,Plot scale,,,,,,,,Q3,,,Conventional,,,,,Cropped fields (arable),Maize,,,,NA,,,,,,,,,,,,,,,,,,,Other (please specify),stinging-nettles and various others herbs,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,Pesticide,herbicide applied once or twice in may,,,,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,maize field vs margin strip,,NA,,,,,Biodiversity (terrestrial),spider abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,Biodiversity,,,,026-135-254-635-252,a 3-year field-scale monitoring of foliage-dwelling spiders (araneae) in transgenic bt maize fields and adjacent field margins,NA,0
20641572,Collins (2003),a 5-year comparison of overwintering polyphagous predator densities within a beetle bank and two conventional hedgebanks,2003,2000-2004,http://scholar.google.co.uk/scholar?q=A+5-year+comparison+of+overwintering+polyphagous+predator+densities+within+a+beetle+bank+and+two+con&btnG=&hl=en&as_sdt=0%2C5,"Beetle bank, conventional hedgebank",UK,UK,"Loddington Estate, Leicestershire",52.613653,-0.83285,Biodiversity (terrestrial),Biodiversity,Observational,Manipulative,4,5,Plot scale,,,,,,,,,Q4,,,,Not described,,,Cropped fields (arable),,,,,NA,,,,,,,,,Grasses,Dactylis glomerata and Holcus lanatus,,,,,Hedgerow,Hawthorn,,,,,,,Within field,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,Strip type (structure),Beetle bank vs hedgebank 1 vs hedgebank 2,,,Vegetation type,Beetle bank vs hedgebank 1 vs hedgebank 2,,,,,,,,NA,,,,,Biodiversity (terrestrial),"Polyphageous predators, vegetation density, vegetation height, vegetation cover ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,Pest regulation,,,,,NA,Biodiversity,,,,003-815-496-301-575,a 5‐year comparison of overwintering polyphagous predator densities within a beetle bank and two conventional hedgebanks,"Summary
Overwintering polyphagous predator density and composition was compared within a mid-field overwintering refuge (“beetle bank”) and two conventional hedgebanks over a 5-year period. During the study predator densities in the beetle bank were similar to or greater than those in the conventional hedgebanks. Whilst predator densities remained relatively stable in both of the hedgebanks over time, densities fluctuated significantly within the beetle bank. Many of the species recorded on the beetle bank are considered to be important predators of cereal aphids. The results are discussed in terms of the implications of creating such a habitat for the biological control of cereal aphids.",1
20641586,Croxton (2002),a comparison of green lanes and field margins as bumblebee habitat in an arable landscape,2002,2000-2004,http://scholar.google.co.uk/scholar?q=A+comparison+of+green+lanes+and+field+margins+as+bumblebee+habitat+in+an+arable+landscape&btnG=&hl=en&as_sdt=0%2C5,Green lane,UK,UK,"15 green lane sites, situated within a 12 km radius of Little Gidding on the Cambridgeshire–Northamptonshire border",52.423773,-0.336843,Biodiversity (terrestrial);Pollination,Biodiversity;Ecosystem functioning,Observational,,<1,Not stated,,,,,Regional scale,,,,Q3,,,,,Not described,,,Cropped fields (arable),"Wheat, oilseed rape",,,,NA,,,,,,,,,Grasses,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,Centre of green lane vs edge of green lane vs field edge adjacent to hedgerow,,NA,,,,,Biodiversity (terrestrial),"Abundance, richness and diversity of herbaceous and flowering plants, abundance of bumblebees",Pollination,Abundance of bumblebees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,NA,Biodiversity,Pollination,,,047-022-834-071-036,a comparison of green lanes and field margins as bumblebee habitat in an arable landscape,NA,0
32344764,Croxton (2002),a farm-scale evaluation of the influence of hedgerow cutting frequency on hawthorn (crataegus monogyna) berry yields,2002,2000-2004,http://scholar.google.co.uk/scholar?q=A+farm-scale+evaluation+of+the+influence+of+hedgerow+cutting+frequency+on+hawthorn+(Crataegus+monogy&btnG=&hl=en&as_sdt=0%2C5,Hedgerow,UK,UK,"Manor Farm, Eddlethorpe, Yorkshire (SE7766), Grange Farm, Knapwell, Cambridgeshire (TL3363) and Marsh Gibbon, Buckinghamshire (SP6523)",51.813665,-0.798921,Non-crop yield,Human use,,Manipulative,<1,Not stated,,,Farm scale,,,,,,Q3,Q4,,,,Not described,Livestock,,Cropped fields (arable),,,,,NA,,,,,,,,,,,,,,,Hedgerow,Including hawthorn,,,,,,,,Field edge,,,,,,,,,Cut,cut within the past year vs managed by uncut for at least 2y vs uncut for many years,,,,,,,,,,,,,,,,,,,,,Strip management,cut within the past year vs managed by uncut for at least 2y vs uncut for many years,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-crop yield,Hawthorn berry fresh and dry weight,,,,,,,,,,,,,Fibre and fuel,NA,,,,,,,,,,,,NA,Biodiversity,,,,094-060-953-943-724,a farm-scale evaluation of the influence of hedgerow cutting frequency on hawthorn (crataegus monogyna) berry yields,NA,0
21568721,Hubbard (2007),a farm-scale test of nitrogen assimilation by vegetated buffer systems receiving swine lagoon effluent by overland flow,2007,2005-2009,http://scholar.google.co.uk/scholar?q=A+farm-scale+test+of+nitrogen+assimilation+by+vegetated+buffer+systems+receiving+swine+lagoon+efflue&btnG=&hl=en&as_sdt=0%2C5,Vegetated buffer system,USA,"Georgia, USA","Tifton, Georgia",31.450463,-83.508497,"Nutrients N;Soil/sediment (chemical, not N/P);Water chemistry/quality (not N/P)",Soil chemistry;Soil chemistry;Soil chemistry,Observational,,5,6,Plot scale,,,,,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),Winter cabbage,,,,NA,,,,,,,,,Grasses,"""grass forest buffer"" ""10 m buffer of coastal bermudagrass ( Cynodon dactylon L. Pers ‘Tifton 85’) was planted upslope from the mature forest on the south side, and upslope from the “cotton land” on the north side during spring 1998. Young slash pines were planted on the “cotton land” during summer 1998. """,,,,,,,Trees,"""grass forest buffer"" ""10 m buffer of coastal bermudagrass ( Cynodon dactylon L. Pers ‘Tifton 85’) was planted upslope from the mature forest on the south side, and upslope from the “cotton land” on the north side during spring 1998. Young slash pines were planted on the “cotton land” during summer 1998. """,,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,,,,,,,,,,,,,,Response to management,Different swine lagoon wastewater application rates,,,Transect into field/across vegetative strip,,,NA,,,,,,,,,,,,,Nutrients N,"Shallow groundwater nitrate, soil C:N ratio",,,,,"Soil/sediment (chemical, not N/P)",Soil C:N ratio,Water chemistry/quality (not N/P),Shallow groundwater chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,Pollution control,,,,Nutrient cycling,,,,NA,,,,,107-419-964-775-170,a farm-scale test of nitrogen assimilation by vegetated buffer systems receiving swine lagoon effluent by overland flow,"A farm-scale study was conducted from 2000 to 2004 to determine the effectiveness of grass-forest vegetated buffers in assimilating nitrogen (N) from overland flow application of swine lagoon effluent. The rationale for the study was that replicated buffer plot studies had shown that vegetated buffers will effectively assimilate N, but it was not known whether or not they would work at a larger scale. The study was conducted on a commercial farm near Tifton, Georgia. Wastewater was pumped from a single-stage anaerobic lagoon to vegetated buffers composed of grass and mature or newly planted pines. The buffers approximated 60 m in length by 90 m in width. The upper 10 m of each buffer was in grass, while the downslope area was in mature or newly planted pines. Six buffers were instrumented for wastewater application and water quality monitoring. Two buffers received wastewater at a 1X rate (600 kg N ha-1 year-1), two at a 3/4X rate (450 kg N ha-1 year-1), and two served as controls. The wastewater was applied to the 10 m grassed portion of the buffers. Transects of shallow groundwater wells starting at the grass-forest interface and running downslope were used to monitor water quality N. The study showed mixed results concerning N assimilation by the buffers. Upslope land use changes by the producer during the study added significant N inputs to one set of buffers, and they were unable to assimilate sufficient N from both these inputs and the wastewater to protect shallow groundwater quality. In contrast, almost all samplings of shallow groundwater under the buffers receiving N only from the overland flow applied swine lagoon effluent showed nitrate (NO3-N) concentrations 20 and 30 m downslope to be lower than 10 mg L-1 (drinking water standard). On these buffers, NO3-N concentrations in shallow groundwater were near background levels five years after wastewater application commenced. The study indicated that the ratio of buffer area width to wastewater application area width on the landscape should be at least 1:1, and that buffers for protection of water quality should be continuous on the landscape. It was concluded from the study that buffers can be used at the farm scale to assimilate N from applied wastewater when they are sufficiently wide relative to waste application area, rate, and other N sources at the farm scale.",0
32341368,Zhang (1995),a model to evaluate windbreak protection efficiency,1995,1995-1999,http://scholar.google.co.uk/scholar?q=A+model+to+evaluate+windbreak+protection+efficiency&btnG=&hl=en&as_sdt=0%2C5,Windbreak,USA,"Nebraska, USA",University of Nebraska Agricultural Research and Development Center (ARDC) near Mead,41.453032,-96.414606,Wind,Human use,Observational,,2,Not stated,,Field scale,,,,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),"corn, Brassica spp., Capsicum frutescens L. and Cucumis sativus L.",Horticulture,"""horticultural crops""",,NA,,,,,,,,,,,,,,,,,Trees,"Juniperus virginiana L. and Pinus sylvestris L.; Fraxinus pennsylvanica L., J. virginiana and P. nigra Arnold",,,,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,0.5-10 times height of windbreak,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,windspeed and direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,Climate regulation,,,,,,,,,,NA,,,,,096-197-889-670-548,a model to evaluate windbreak protection efficiency,"The effectiveness of windbreaks in windspeed reduction is often evaluated without regard to the objects to be protected. In fact, many objects may have different sensitivities to wind and often require different degrees of wind protection. Since commonly used indexes do not consider the sensitivity to wind, a concept of specific protection efficiency is developed. A critical windspeed is used to represent the sensitivity of each object. Windspeeds greater than this value are considered damaging. A dimensionless protection index is defined to evaluate windbreak efficiency. The maximum index value is 1 for the highest protection, and the index is negative when sheltered windspeed is greater than the critical windspeed. This index can be compared, summed, and averaged across different windbreaks, objects, and leeward locations. A sample of critical windspeed values was compiled from the literature. The index was evaluated using actual wind data measured under both sheltered and open conditions. The results indicated that the index can be used for evaluating windbreak effectiveness in terms of objects protected under various conditions. This model could be used as a tool for windbreak-related research and policy making.",0
21568648,Heinen (2012),a novel method to determine buffer strip effectiveness on deep soils,2012,2010-2014,http://scholar.google.co.uk/scholar?q=A+Novel+Method+to+Determine+Buffer+Strip+Effectiveness+on+Deep+Soils&btnG=&hl=en&as_sdt=0%2C5,Buffer strip,The Netherlands,The Netherlands,"near Beltrum (5204 56 N, 0632 11 E)",52.082222,6.536387,Nutrients N;Nutrients P;Water chemistry/quality (not N/P);Water loss/retention,Soil chemistry;Soil chemistry;Soil chemistry;Soil physical,,Manipulative,3,3,Plot scale,,,,,,Q1,Q2,,Q4,,,,Not described,,,Cropped fields (arable),forage maize ,,,,NA,,,,,,,,,Grasses,,,,,,,,,,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,Buffer vs no buffer vs ditch,,,,,,,,,,,,,,,Transect into field/across vegetative strip,0-55m from ditch,,NA,,,,,,,,,,,,,Nutrients N,"Soil water/ground water N uptake, N surplus, Total N",Nutrients P,"Soil water/ground water P uptake, P surplus, Total P",,,,,Water chemistry/quality (not N/P),Ground water chloride,,,Water loss/retention,"Discharge; Groundwater level, water discharge, deuterium recovery rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,Hydrological regimes,Pollution control,,,,Nutrient cycling,,,,NA,,,,,036-180-871-084-631,a novel method to determine buffer strip effectiveness on deep soils,"Unfertilized buffer strips (BS) generally improve surface water quality. High buffer strip effectiveness (BSE) has been reported for sloping shallow aquifers, but experimental data for plain landscapes with deeply permeable soils is lacking. We tested a novel method to determine BSE on a 20-m-deep, permeable sandy soil. Discharge from soil to ditch was temporarily collected in an in-stream reservoir to measure its quantity and quality, both for a BS and a reference (REF) treatment. Treatments were replicated once for the first, and three times for the next three leaching seasons. No significant BSE was obtained for nitrogen and phosphorus species in the reservoirs. Additionally, water samples were taken from the upper groundwater below the treatments. The effect of BS for nitrate was much bigger in upper groundwater than in the reservoirs that also collected groundwater from greater depths that were not influenced by the treatments. We conclude that measuring changes in upper groundwater to assess BSE is only valid under specific hydrogeological conditions. We propose an alternative experimental set-up for future research, including extra measurements before installing the BS and REF treatments to deal with spatial and temporal variability. The use of such data as covariates will increase the power of statistical tests by decreasing between-reservoir variability.",0
27990243,Sobota (2012),a stable isotope tracer study of the influences of adjacent land use and riparian condition on fates of nitrate in streams,2012,2010-2014,http://scholar.google.co.uk/scholar?q=A+stable+isotope+tracer+study+of+the+influences+of+adjacent+land+use+and+riparian+condition+on+fates&btnG=&hl=en&as_sdt=0%2C5,Riparian forest,USA,"Oregon, USA","Camp, Oak-A, and Courtney streams in Williamette River Basin, western Oregon (44 07-44 34 N, 122 49-123 58 W)",44.566689,-122.816699,Nutrients N;Nutrients P;Water chemistry/quality (not N/P);GHGs;Light;Organism physiology/condition,Soil chemistry;Soil chemistry;Soil chemistry;Ecosystem functioning;Ecosystem functioning;Ecosystem functioning,Observational,,Not stated,Not stated,,,,Catchment scale,,,,,,,Not described,,,Not described,,,,,,,,NA,,,,,,,Not described,,,,,,,,,,Trees,,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,Vegetation type,Amount of canopy cover,,,,,,,,NA,,,,,,,,,,,,,Nutrients N,"Stream nitrate, ammonium, dissolved organic nitrate, dissolved inorganic nitrate, particulate nitrogen",Nutrients P,Stream soluble reactive phosphate,,,,,Water chemistry/quality (not N/P),Stream issolved oxygen,,,,,,,GHGs,Stream ecosystem respiration,,,,,,,,,,,,,,,,,,,,,Light,Photosynthetically active radiation,,,,,,,Organism physiology/condition,Stream gross primary production,,,,NA,,Climate regulation,,Pollution control,,,,Nutrient cycling,,,,NA,,,,,093-517-933-508-881,a stable isotope tracer study of the influences of adjacent land use and riparian condition on fates of nitrate in streams,"The influence of land use on potential fates of nitrate (NO3−) in stream ecosystems, ranging from denitrification to storage in organic matter, has not been documented extensively. Here, we describe the Pacific Northwest component of Lotic Intersite Nitrogen eXperiment, phase II (LINX II) to examine how land-use setting influences fates of NO3− in streams. We used 24 h releases of a stable isotope tracer (15NO3-N) in nine streams flowing through forest, agricultural, and urban land uses to quantify NO3− uptake processes. NO3− uptake lengths varied two orders of magnitude (24–4247 m), with uptake rates (6.5–158.1 mg NO3-N m−2 day−1) and uptake velocities (0.1–2.3 mm min−1) falling within the ranges measured in other LINX II regions. Denitrification removed 0–7% of added tracer from our streams. In forest streams, 60.4 to 77.0% of the isotope tracer was exported downstream as NO3−, with 8.0 to 14.8% stored in wood biofilms, epilithon, fine benthic organic matter, and bryophytes. Agricultural and urban streams with streamside forest buffers displayed hydrologic export and organic matter storage of tracer similar to those measured in forest streams. In agricultural and urban streams with a partial or no riparian buffer, less than 1 to 75% of the tracer was exported downstream; much of the remainder was taken up and stored in autotrophic organic matter components with short N turnover times. Our findings suggest restoration and maintenance of riparian forests can help re-establish the natural range of NO3− uptake processes in human-altered streams.",0
