Item ID,Short Title,Title,Year,Period,Vegetated strip description info,Nation,Study country,Study location,Latitude,Longitude,Outcomes
20641367,Aaron (2005),Invertebrate Biodiversity in Agricultural and Urban Headwater Streams: Implications for Conservation and Management,2005,2005-2009,riparian buffer,USA,"Maryland, USA","Cattail Creek, Hawling's River, Northwest Branch, Paint Branch of Chesapeake Bay Watershed, Maryland",39.045755,-76.641271,Biodiversity
20641374,Aavik (2008),What is the role of local landscape structure in the vegetation composition of field boundaries?,2008,2005-2009,field boundary,Estonia,Estonia,"Vaike-Maarja, Are, Vihtra, Virratsi, Abja-Paluoja and Ilmatsalu",58.595272,25.013607,Biodiversity
20641375,Aavik (2010),"Quantifying the effect of organic farming, field boundary type and landscape structure on the vegetation of field boundaries",2010,2010-2014,field boundary,Estonia,Estonia,Tartu County,58.405713,26.801576,Biodiversity
20641382,Abu-Zreig (2004),Experimental investigation of runoff reduction and sediment removal by vegetated filter strips,2004,2000-2004,vegetated filter strip,Not stated,Not stated,Not stated,not stated,not stated,Soil Physical
20641384,Abu-Zreig (2003),Phosphorus removal in vegetated filter strips,2003,2000-2004,vegetated filter strip,Canada,"Ontario, Canada","Elora, Ontario",43.683715,-80.430543,Soil Chemistry;Soil Physical
20641386,Adams (2013),Disturbance and landscape effects on avian nests in agricultural conservation buffers,2013,2010-2014,conservation buffer,USA,"Mississippi, USA",Northeast Mississippi (approximately 33.7 N -88.73 E),33.7,-88.73,Biodiversity
20641389,Ahern (2002),Effect of different wheat production systems on the presence of two parasitoids (Hymenoptera : Aphelinidae; Braconidae) of the Russian wheat aphid in the North American Great Plains,2002,2000-2004,field-adjacent grassland strip,USA,"Wyoming and Colorado, USA",Southeastern Wyoming and northeastern Colorado,multiple,multiple,Biodiversity
20641390,Al (2013),Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?,2013,2010-2014,grassy strip,France,France,"Pleine-Fougeres, Brittany (48 36 N, 1 32 W)",48.6,-1.533333,Biodiversity
20641397,Alignier (2015),"Changes in management practices over time explain most variation in vegetation of field margins in Brittany, France",2015,2015-2016,field margin,France,France,"Mont-Saint Michel Bay, Brittany (48 36 N, 1 32 W)",48.6,-1.533333,Biodiversity
20641398,Anan'eva (2008),Comparative assessment of soil microbial biomass determined by the methods of direct microscopy and substrate-induced respiration,2008,2005-2009,forest shelter belt,Russia,"Northwest, Central and South, Russia","Vorkuta, Moscow, and Volgograd",multiple,multiple,Biodiversity;Soil Chemistry;Soil Physical
20641404,Anjum-Zubair (2015),Differentiation of spring carabid beetle assemblages between semi-natural habitats and adjoining winter wheat,2015,2015-2016,sown wildflower area;grassy margin,Switzerland,Switzerland,Between Solothurn and Bern,47.087584,7.492987,Biodiversity
20641410,Askew (2007),Agri-environment schemes and foraging of barn owls Tyto alba,2007,2005-2009,field margin,UK,UK,York,53.959965,-1.087298,Biodiversity
20641414,Bailey (2013),Determining the cost of in-field mitigation options to reduce sediment and phosphorus loss,2013,2010-2014,beetlebank,UK,UK,"ADAS Rosemaund, Herefordshire (SO565480); Severn Trent Water farm at Old Hattons, Wolverhampton (SJ884055); Allerton Trust farm in Loddington, Leicestershire (SK797010)",52.467564,-1.869761,Soil Chemistry;Soil Chemistry;Soil Physical;Human Use
20641423,Balog (2007),Chemical disturbances effects on community structure of rove beetles (Coleoptera : Staphylinidae) in Hungarian agricultural fields,2007,2005-2009,hedgerow,Hungary,Hungary,Horticultural Research Station Újfehértó,47.803116,21.680199,Biodiversity
20641428,Barbir (2015),Can floral field margins improve pollination and seed production in coriander Coriandrum sativum L. (Apiaceae)?,2015,2015-2016,floral field margin,Spain,Spain,"La Poveda farm, Arganda del Rey, Madrid (40 19 N, 3 29 W)",40.316667,-3.483333,Biodiversity;Ecosystem Functioning
20641431,Barden (2003),Assessing the effectiveness of various riparian buffer vegetation types,2003,2000-2004,riparian buffer,USA,"Kansas, USA","Mill Creek, Geary County, Kansas",38.998469,-96.792235,Soil Chemistry
20641437,Bates (2009),Does hedgerow management on organic farms benefit small mammal populations?,2009,2005-2009,hedgerow,UK,UK,Southwest England and southeast Wales,51.799815,-2.571315,Biodiversity
20641442,Beck (2013),"Attenuation and persistence of fecal indicator bacteria in vegetated buffer strips in Southern Illinois, USA",2013,2010-2014,vegetated buffer strip,USA,"Illinois, USA","Southern Illinois University Carbondale (SUIC) site, Carbondale, Illinois (37 42' 34''N, 89 16' 08''W)",37.709444,-89.268889,Pollution
20641449,Bereswill (2013),"Current-use pesticides in stream water and suspended particles following runoff: Exposure, effects, and mitigation requirements",2013,2010-2014,riparian buffer,Germany,Germany,"Braunschweig, central Germany",52.268874,10.52677,Biodiversity;Soil Chemistry;Soil Chemistry;Soil Chemistry;Pollution
20641450,Berges (2009),Ecosystem services of riparian areas: Stream bank stability and avian habitat,2009,2005-2009,riparian area,USA,"Missouri, USA","Mark Twain Lake/Salt River, Missouri",39.509255,-91.768487,Soil Chemistry;Soil Physical
20641451,Berges (2010),"Bird species diversity in riparian buffers, row crop fields, and grazed pastures within agriculturally dominated watersheds",2010,2010-2014,riparian buffer,USA,"Missouri, USA","Mark Twain Lake/Salt River watershed, Northeast Missouri",39.509255,-91.768487,Soil Chemistry;Soil Physical
20641455,Best (1991),Bird abundance and species richness in grassed waterways in Iowa rowcrop fields,1991,1990-1994,grassed waterway,USA,"Iowa, USA","Story and Marshall counties, central Iowa",42.054598,-93.233042,Biodiversity;Ecosystem Functioning
20641463,Bingham (1980),Effect of grass buffer zone length in reducing the pollution from land application areas [Water quality],1980,1980-1984,grass buffer zone,USA,"Not stated, USA",Not stated,37.09,-95.71,Soil Chemistry;Soil Chemistry;Soil Chemistry
20641464,Bishton (1986),The diet and foraging behaviour of the dunnock Prunella modularis in a hedgerow habitat,1986,1985-1989,hedgerow,UK,UK,"Nedge Hill, Shropshire (SJ716073)",52.659605,-2.424649,Biodiversity
20641467,Blank (2011),Bird Community Response to Filter Strips in Maryland,2011,2010-2014,filter strip,USA,"Maryland, USA",Eastern Shore of Maryland (east of Chesapeake Bay),37.432611,-75.687523,Biodiversity
20641468,Blank (1967),The ecology of the partridge: L Outline of population processes with articular reference to chick mortality and nest density,1967,1965-1969,field boundary,UK,UK,"Sutton Manor, Sutton Scotney, Hampshire",51.152318,-1.337234,Biodiversity;Human Use;Recreation
20641469,Blattel (2005),Abatement of ground water phosphate in giant cane and forest riparian buffers,2005,2005-2009,riparian buffer,USA,"Illinois, USA","Big Creek (37 24 37 N, 89 9 15 W), Cypress Creek (37 24 57 N, 89 4 58 W), and the Cache River (37 16 29 N, 89 10 26 W), Illinois",37.262408,-89.136225,Soil Chemistry;Soil Chemistry
20641474,Boldes (2002),Canopy flow and aspects of the response of plants protected by herbaceous shelterbelts and wood fences,2002,2000-2004,shelterbelt,Argentina,Argentina,"Facultad de Agronomia, Universidad Nacional de La Pampa, Santa Rosa, La Pampa",-36.557158,-64.301461,Human Use;Human Use
20641475,Borin (2002),Abatement of NO3-N concentration in agricultural waters by narrow buffer strips,2002,2000-2004,riparian buffer,Italy,Italy,Venice,45.448303,12.317492,Soil Chemistry
