"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XEZQJ28R","journalArticle","2005","Aaron, A. Moore; Palmer Margaret, A.","Invertebrate Biodiversity in Agricultural and Urban Headwater Streams: Implications for Conservation and Management","Ecological Applications","","10510761","10.1890/04-1484","http://www.jstor.org/stable/4543427","The urbanization of agricultural lands is currently one of the dominant patterns of land use change in developed countries. In the United States and parts of Europe, this has led to the implementation of agricultural land preservation programs and riparian protection and replanting efforts along urban streams. The ecological benefits of such programs for the conservation of freshwater biodiversity have yet to be fully explored. We designed a study to investigate the patterns of stream macroinvertebrate community structure along a gradient of agriculture to urban development, and the patterns among urban streams that vary in the amount of intact riparian buffer. In 2001 and 2002, we sampled the 29 small headwater streams comprising the outlying tributaries of four watersheds just north of Washington, D.C., in Montgomery County, Maryland, USA. This region has had dramatic urban development over the last 50 years, yet significant efforts have been made to maintain riparian buffers and promote preservation of agricultural land. Macroinvertebrate richness was strongly related to land use, with agricultural streams exhibiting the highest macroinvertebrate diversity. Taxa richness was related negatively and linearly (no statistical threshold) to the amount of impervious surface cover. For the urban streams, there was a strong positive relationship between invertebrate diversity and riparian forest cover. Urban streams with high amounts of intact riparian forest exhibited biodiversity levels more comparable to less urban areas despite high amounts of impervious cover in their catchments. The agricultural headwater streams in this study were not only more diverse than the urban headwaters, but their levels of macroinvertebrate diversity were high compared to other published estimates for agricultural streams. These higher richness values may be due to widespread use of ""best management practices"" (BMPs), including no-till farming and the implementation of woody and herbaceous riparian buffers, which may alleviate many acute stressors caused by cultivation. These findings suggest that, if managed properly, the preservation of agricultural land from development may help conserve stream invertebrate biodiversity, and that maintenance of riparian forests even in highly urbanized watersheds may help alleviate ecological disturbances that might otherwise limit macroinvertebrate survival.","2005","2020-10-29 20:06:33","2021-10-05 16:53:13","","1169-1177","","","15","","","","","","","","","","","","","","","","","","","","","eppi-reviewer4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55K85JVS","journalArticle","2008","Aavik, Tsipe; Augenstein, Isabel; Bailey, Debra; Herzog, Felix; Zobel, Martin; Liira, Jaan","What is the role of local landscape structure in the vegetation composition of field boundaries?","Applied Vegetation Science","","14022001","10.3170/2008-7-18486","https://ezp.sub.su.se/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=aph&AN=65014973&site=ehost-live&scope=site","","2008","2020-10-29 20:06:34","2020-10-29 20:06:34","","375-386","","","11","","","","","","","","","","","","","","","","","","","","","BOTANY; BORDERLANDS; eppi-reviewer4; ESTONIA; LANDSCAPES; PLANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HXDA27F5","journalArticle","2010","Aavik, T.; Liira, J.","Quantifying the effect of organic farming, field boundary type and landscape structure on the vegetation of field boundaries","Agriculture Ecosystems & Environment","","0167-8809","10.1016/j.agee.2009.09.005","://WOS:000272600000003","The general aim of the study was to determine the main factors of plant species richness and composition in field boundaries. We surveyed the vegetation of field boundaries in organic and non-organic farms, recorded the field boundary type and width. We characterized landscape structure around the vegetation plots (r=250m). We classified plant species into two ecological response groups: (1) common weeds and other species occurring frequently on agricultural land, i.e. 'agrotolerant species'(47 species), and (2) all other species intolerant to contemporary agricultural practices-so-called 'nature-value species' (190 species). We analysed the effect of organic farming, boundary type and landscape structure on the diversity of these two species groups. We found that field boundary type and landscape structure described most of the variation in species composition of these boundaries, while organic farming had little effect. However, the analysis of plant species diversity revealed that organic farming significantly supported the species richness of high nature-vaiue species by increasing species richness on average by two species on 4 m(2) plot, while the richness of agrotolerant species did not depend on farming type. Boundary type had a specific impact on species diversity-ditches enhanced the richness of nature-value species and suppressed agrotolerants; woody boundaries hosted only a few agrotolerant species and road verges increased the species richness of both species groups. The richness of nature-value species benefited from wider open boundaries, while narrow boundaries hosted more agrotolerant species. (C) 2009 Elsevier B.V. All rights reserved.","2010","2020-10-29 20:06:34","2020-10-29 20:06:34","","178-186","","","135","","","","","","","","","","","","","","","","","","","","","eppi-reviewer4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJ9FQB2E","journalArticle","2003","Abu-Zreig, M.; Rudra, R. P.; Whiteley, H. R.; Lalonde, M. N.; Kaushik, N. K.","Phosphorus removal in vegetated filter strips","Journal of Environmental Quality","","0047-2425","10.2134/jeq2003.6130","://WOS:000181618300027","Vegetated filter strips (VFS) are used recently for removal, at or near the source, of sediment and sediment-bound chemicals from cropland runoff. Vegetation within the flowpath increases water infiltration and decreases water turbulence, thus enhancing pollutant removal by sedimentation within filter media and infiltration through the filter surface. Field experiments have been conducted to examine the efficiency of vegetated filter strips for phosphorus removal from cropland runoff with 20 filters with varying length (2 to 15 m), slope (2.3 and 5%), and vegetated cover, including bare-soil plots as control. Artificial runoff used in this study had an average phosphorus concentration of 2.37 mg L-1 and a sediment concentration of 2700 mg L-1. The average phosphorus trapping efficiency of all vegetated filters was 61% and ranged from 31% in a 2-m filter to 89% in a 15-m filter. Filter length has been found to be the predominant factor affecting P trapping in VFS. The rate of inflow, type of vegetation, and density of vegetation coverage had secondary influences on P removal. Short filters (2 and 5 m), which are somewhat effective in sediment removal, are much less effective in P removal. Increasing the filter length beyond 15 m is ineffective in enhancing sediment removal but is expected to further enhance P removal. Sediment deposition, infiltration, and plant adsorption are the primary mechanisms for phosphorus trapping in VFS.","2003","2020-10-29 20:06:35","2021-10-05 16:53:14","","613-619","","","32","","","","","","","","","","","","","","","","","","","","","eppi-reviewer4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VVXH53EL","journalArticle","2013","Adams Heidi, L.; Burger, L. Wes; Riffell, Sam","Disturbance and landscape effects on avian nests in agricultural conservation buffers","Journal of Wildlife Management","","0022541X","10.1002/jwmg.568","https://ezp.sub.su.se/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=aph&AN=89305805&site=ehost-live&scope=site","ABSTRACT We studied the effects of periodic disturbance (prescribed burning and light disking) and landscape composition on nest density and success for grassland birds in agricultural conservation buffers in southeastern United States agroecosystems. During the 2007-2009 breeding seasons, we located 387 nests in buffers of a northeast Mississippi agroecosystem. Dickcissel ( Spiza americana) and red-winged blackbird ( Agelaius phoeniceus) were the most common nesting species. Time since disturbance influenced nest densities of dickcissels and red-winged blackbirds; densities were lesser during the first growing season post-disturbance but increased during the second growing season post-burn. Nest densities for both species were least in buffers adjacent to woodland. Inclusion of disturbance did not improve models of dickcissel and red-winged blackbird nest survival, suggesting that disturbance influenced nesting density, but not nesting outcomes. Amount of grassland surrounding dickcissel nests was positively associated with nest survival, but confidence intervals included zero indicating effects were not strong. Although distance to nearest crop or developed edge were included in competing models of red-winged blackbird nest survival, their effects were negligible. Agricultural conservation buffers will best serve breeding grassland bird populations if they are established in areas with minimal woodland cover, maximize total grassland in the landscape, and are maintained with prescribed burning. These results will help characterize the contribution of agricultural conservation buffers in agroecosystems of the southeastern United States. © 2013 The Wildlife Society. [ABSTRACT FROM AUTHOR] Copyright of Journal of Wildlife Management is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","2013","2020-10-29 20:06:36","2020-10-29 20:06:36","","1213-1220","","","77","","","","","","","","","","","","","","","","","","","","","RESEARCH; eppi-reviewer4; AGRICULTURAL conservation -- United States; AGRICULTURAL ecology; BIRD breeding; conservation buffers; DICKCISSEL; disturbance; GRASSLAND birds; landscape composition; nest density; nest survival; RED-winged blackbird","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQT5NFPJ","journalArticle","2014","Adhikari, Pradip; Udawatta Ranjith, P.; Anderson Stephen, H.","Soil Thermal Properties under Prairies, Conservation Buffers, and Corn-Soybean Land Use Systems","Soil Science Society of America Journal","","0361-5995","10.2136/sssaj2014.02.0074","://BCI:BCI201500202328","Although prairies and conservation buffers are becoming popular to improve soil properties and environmental quality, very little is known about their influence on soil thermal properties. This study compared and quantified thermal conductivity (lambda), thermal diffusivity (D), and volumetric heat capacity (C) of prairies (Tucker Prairie [TP] and Prairie Fork [PF]), conservation buffers (grass buffers [GB] and agroforestry buffers [AGF]), and corn (Zea mays L.)-soybean [Glycine max (L.) Merr.] rotation (COS) land uses in Missouri. Core and bulk soils were collected at 10-cm depth increments. Soil thermal properties and water characteristic curves were determined at 0, -33, -100, and -300 kPa pressures. Additionally, soil organic C (SOC) and bulk density (BD) were also determined. The results showed that SOC was negatively correlated with lambda and D and positively correlated with C. Significantly higher values of SOC and lower BD were observed for AGF, TP, GB, and PF than COS. Similarly, lambda and D were significantly higher and C was lower under COS than the prairies and conservation buffers. The results suggest that a greater amount of SOC decreases the thermal conductance due to the insulating characteristics of SOC and acts as a barrier to heat transport. Therefore, AGF, TP, GB, and PF had lower thermal conductance to deeper soil depths, which helps to conserve more moisture as well as assist in increasing the longevity of SOC in the soil matrix. Our results imply that buffers and perennial vegetation can help reduce heat flow by increasing the thermal capacity and thereby mitigating climate change.","2014","2020-10-29 20:06:36","2021-10-05 16:53:14","","1977-1986","","","78","","","","","","","","","","","","","","","","","","","","","eppi-reviewer4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S2AXRYW7","journalArticle","2015","Aguiar, T. R.; Rasera, K.; Parron, L. M.; Brito, A. G.; Ferreira, M. T.","Nutrient removal effectiveness by riparian buffer zones in rural temperate watersheds: The impact of no-till crops practices","Agricultural Water Management","","0378-3774","10.1016/j.agwat.2014.10.031","://WOS:000348893900006","Riparian buffer zones have the potential to capture chemical contaminants and to mitigate detrimental side-effects in aquatic ecosystems derived from excess fertilizers used in agro-food production. No-till farming systems are well known agricultural practices and are widely used in temperate areas. In that regard, different settings and widths of riparian buffer zones (12, 24, 36,48 and 60 m) with woody vegetation, shrubs or grasses were assessed. The methodology was comprised of the evaluation of a large number of experimental sites and the sampling was conducted after the first rain period and respective fertilizer applications. The results point to the fact that effectiveness is largely controlled by buffer zone width and vegetation type. Indeed, buffer zones with 60 m width composed of woody soils were more effective in phosphorus (99.9%) and nitrogen (99.9%) removal when compared to shrub (66.4% and 83.9%, respectively) or grass vegetation (52.9% and 61.6%, respectively) areas. Woody vegetation has deep rooting systems and woody soils have a higher content of organic matter when compared to grass and shrubs areas. (C) 2014 Elsevier B.V. All rights reserved.","2015","2020-10-29 20:06:37","2021-10-05 16:53:14","","74-80","","","149","","","","","","","","","","","","","","","","","","","","","eppi-reviewer4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPVVZM67","journalArticle","2002","Ahern, R. G.; Brewer, M. J.","Effect of different wheat production systems on the presence of two parasitoids (Hymenoptera : Aphelinidae; Braconidae) of the Russian wheat aphid in the North American Great Plains","Agriculture Ecosystems & Environment","","0167-8809","10.1016/s0167-8809(01)00296-1","://WOS:000178469400008","Diuraphis noxia (the Russian wheat aphid) severely damages winter wheat, which is typically grown in alternating 30-70 m wide strips of wheat and fallow ground (traditional rotation) in the western region of the North American Great Plains. Diversification of this production system occurs by adding a spring sown plant such as sunflower into the strip rotation (diversified rotation). Converting idle wheat land to grassland adds to plant diversity. Wheat production in the North American Great Plains is of an impressive scale (for each field, possibly 10 or more strips of several kilometers in length), but plant diversity occurs, particularly in the western region where diversified rotations and idle wheat land conversion to grassland are becoming more common. The 'Enemies Hypothesis' predicts a greater number of polyphagous natural enemies of insects in areas of high plant diversity. This hypothesis appeared to be valid for the 'specialist' aphid parasitoids Diaeretiella rapae and Aphelinus albipodus that were released to control D. noxia. A. albipodus was often more abundant along edges of wheat and sunflower strips of the diversified rotation than along edges of wheat of the traditional rotation. D. rapae was less abundant and principally found on sunflower and wheat of the diversified rotation. Parasitoids were often found in grassland adjacent to wheat at levels similar to those of the diversified rotation. The abundance of five aphid species on wheat was low in both rotations, and aphids on sunflower did not pose a threat to wheat health. (C) 2002 Elsevier Science B.V. All rights reserved.","2002","2020-10-29 20:06:37","2020-10-29 20:06:37","","201-210","","","92","","","","","","","","","","","","","","","","","","","","","eppi-reviewer4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAJM5VWT","journalArticle","2013","Al, Hassan; Diab; Georgelin, Ewen; Delattre, Thomas; Burel, Françoise; Plantegenest, Manuel; Kindlmann, Pavel; Butet, Alain","Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?","Agricultural & Forest Entomology","","14619555","10.1111/j.1461-9563.2012.00587.x","https://ezp.sub.su.se/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=aph&AN=85016776&site=ehost-live&scope=site","We investigated, over the course of 2 years, the spatial distribution and abundance of two species of aphid, Metopolophium dirhodum and Sitobion avenae, and predatory species of carabid. This was undertaken in 24 wheat fields in 'coarse-grain' and 'fine-grain' landscapes in western France. A greater percentage of the latter landscape was covered by hedgerows and grassland and the total area covered by fields and the average size of the fields were smaller., The effects on aphid abundance of the distance from field margins, the presence of grassy strips and carabid abundance were determined in both landscapes., Both aphid species were more abundant in the 'fine-grain' landscape, which may have been a result of the higher density of semi-natural elements. In both types of landscape, the total numbers of aphids were negatively correlated with the distance from the field margin. This may have been because aphids were dispersing from overwintering sites in field margins. The abundance of M. dirhodum was strongly negatively correlated with the presence of grassy strips in the 'coarse-grain' landscape, although there were no such significant correlations for either of the aphid species in the 'fine-grain' landscape., Aphid and carabid abundances were negatively correlated in the 'fine-grain' and positively in 'coarse-grain' landscape., The results obtained in the present study emphasize the importance of semi-natural areas in agricultural landscapes in shaping the spatial distribution of aphids and carabid beetles, their natural enemies, at different spatial scales. [ABSTRACT FROM AUTHOR] Copyright of Agricultural & Forest Entomology is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","2013","2020-10-29 20:06:38","2020-10-29 20:06:38","","24-33","","","15","","","","","","","","","","","","","","","","","","","","","eppi-reviewer4; ANIMAL species; APHIDS; Beneficial predators; biological control; Carabidae; cereal aphids; GRASSES; grassy strips; GROUND beetles; INSECT-plant relationships; landscape structure; PREDATORY animals; SPATIAL analysis (Statistics)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9QDHHYI","journalArticle","2012","Al-wadaey, A.; Wortmann, C. S.; Franti, T. G.; Shapiro, C. A.; Eisenhauer, D. E.","Effectiveness of Grass Filters in Reducing Phosphorus and Sediment Runoff","Water Air and Soil Pollution","","0049-6979","10.1007/s11270-012-1322-2","://WOS:000310913400027","Surface water contamination can often be reduced by passing runoff water through perennial grass filters. Research was conducted in 2006 to 2008 to evaluate the size of cool season grass filters consisting primarily of tall fescue (Festuca arundinacea Schreb) with some orchard grass (Dactylis glomerata L.) relative to drainage area size in reducing runoff sediment and phosphorus (P). The soil was Pohocco silt loam Typic Eutrochrepts with a median slope of 5.5 %. The grass filters occupying 1.1 and 4.3 % of the plot area were compared with no filter with four replications. The filters were planted in the V-shaped plot outlets which were 3.7x11.0 m in size. The filter effect on sediment and P concentration was determined from four natural runoff events when nearly all plots had runoff. Filter effect on runoff volume and contaminant load was determined using total runoff and composites of samples collected from 12 runoff events. Sediment concentration was reduced by 25 % with filters compared with no filter (from 1.10 to 1.47 gL(-1)), but P concentration was not affected. The 1.1 and 4.3 % filters, respectively, compared with having no grass filter, reduced: runoff volume by 54 and 79 %; sediment load by 67 and 84 % (357 to 58 kgha(-1)); total P load by 68 and 76 % (0.58 to 0.14 kgha(-1)); particulate P (PP) load by 66 and 82 % (0.39 to 0.07 kgha(-1)); and dissolved reactive P (DRP) load by 73 and 66 % (0.2 to 0.07 kgha(-1)), respectfully. A snowmelt runoff event had 56 % greater DRP concentration compared with rainfall-induced runoff events. Grass filters reduced sediment and P load largely by reducing runoff volume rather than reducing concentration. Well-designed and well-placed grass filters that occupy 1.0 to 1.5 % of the drainage area and intercept a uniform flow of runoff from a drainage area can reduce sediment and nutrient loss in runoff by greater than 50 %.","2012","2020-10-29 20:06:38","2021-10-05 16:53:14","","5865-5875","","","223","","","","","","","","","","","","","","","","","","","","","eppi-reviewer4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
