,V1,V2
496,"AAVIK T, 2008, APPLIED VEGETATION SCIENCE",3
386,"AAVIK T, 2010, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
66,"ABU-ZREIG M, 2003, JOURNAL OF ENVIRONMENTAL QUALITY",2
157,"ADAMS HL, 2013, THE JOURNAL OF WILDLIFE MANAGEMENT",1
622,"ADHIKARI P, 2014, SOIL SCIENCE SOCIETY OF AMERICA JOURNAL",2
666,"AGUIAR TR, 2015, AGRICULTURAL WATER MANAGEMENT",2
365,"AHERN RG, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
413,"AL-WADAEY A, 2012, WATER, AIR, & SOIL POLLUTION",2
743,"ALAIN B, 2006, LANDSCAPE ECOLOGY",3
779,"ALEBEEK FAN, 2003, ",4
411,"ALEBEEK FAN, 2006, ",4
42,"ALIGNIER A, 2015, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
516,"ALLAIRE SE, 2015, PLOS ONE",2
51,"ALTEWISCHER A, 2015, ACTA ORNITHOLOGICA",3
244,"AMY SR, 2015, BASIC AND APPLIED ECOLOGY",3
653,"ANANYEVA N, 2008, MIKROBIOLOGIIA",5
325,"ANANYEVA ND, 2008, MICROBIOLOGY",5
122,"ANDERSEN A, 1997, JOURNAL OF APPLIED ENTOMOLOGY",4
786,"ANDERSON A, 2012, INSECT CONSERVATION AND DIVERSITY",3
177,"ANDERSON SH, 2008, AGROFORESTRY SYSTEMS",2
776,"ANJUM-ZUBAIR M, 2010, AGRICULTURAL AND FOREST ENTOMOLOGY",4
109,"ANJUM‐ZUBAIR M, 2010, AGRICULTURAL AND FOREST ENTOMOLOGY",4
691,"ANJUM‐ZUBAIR M, 2015, AGRICULTURAL AND FOREST ENTOMOLOGY",4
373,"ARANGO CP, 2008, JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY",2
309,"ARNOLD GL, 2004, JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY",2
656,"ARNOLD GW, 1983, THE JOURNAL OF APPLIED ECOLOGY",1
624,"ARORA K, 1996, TRANSACTIONS OF THE ASAE",2
829,"ARORA K, 2003, TRANSACTIONS OF THE ASAE",2
152,"ASCHWANDEN J, 2007, WILDLIFE BIOLOGY",3
89,"ASTERAKI EJ, 1995, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
191,"ASTERAKI EJ, 2004, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
289,"ATAKAN E, 2010, PHYTOPARASITICA",4
36,"AVIRON S, 2010, RESTORATION ECOLOGY",3
835,"BÄCKMAN JPC, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
439,"BÜCHI R, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
641,"BADENHAUSSER I, 2012, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
790,"BADENHAUSSER I, 2015, ARTHROPOD-PLANT INTERACTIONS",3
362,"BAHLAI CA, 2010, ENVIRONMENTAL ENTOMOLOGY",4
589,"BAILEY A, 2013, LAND USE POLICY",2
419,"BAINES M, 1998, ECOGRAPHY",4
795,"BAKER D, 2012, JOURNAL OF APPLIED ECOLOGY",3
137,"BALENT G, 1992, LANDSCAPE ECOLOGY",1
390,"BALESTRINI R, 2011, ECOLOGICAL ENGINEERING",2
808,"BALOG A, 2007, ",4
78,"BANGURA A, 2015, AMERICAN JOURNAL OF EXPERIMENTAL AGRICULTURE",1
471,"BARBIR J, 2015, AGRICULTURAL AND FOREST ENTOMOLOGY",4
202,"BARONE M, 2003, OECOLOGIA",4
730,"BASSA M, 2011, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
481,"BASSA M, 2012, BIODIVERSITY AND CONSERVATION",3
145,"BATÁRY P, 2010, BIOLOGICAL CONSERVATION",3
799,"BATES FS, 2009, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",3
561,"BAVERSTOCK J, 2007, JOURNAL OF INVERTEBRATE PATHOLOGY",3
265,"BECK W, 2013, AGROFORESTRY SYSTEMS",2
330,"BECKMANN JP, 2001, ",1
107,"BEEK C, 2007, NUTRIENT CYCLING IN AGROECOSYSTEMS",2
841,"BELL JR, 1999, JOURNAL OF ARACHNOLOGY",4
570,"BELL JR, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
735,"BELL JR, 2002, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT-a",4
584,"BELTRAMO J, 2006, BRAZILIAN JOURNAL OF BIOLOGY = REVISTA BRASLEIRA DE BIOLOGIA",4
544,"BENCE SL, 2003, AGRICULTURE, ECOSYSTEMS & ENVIRONMENT",4
