"","V1","V2"
"1","000-028-962-557-075","1"
"2","000-065-021-648-613","1"
"3","000-140-507-815-44X","1"
"4","000-142-952-017-146","2"
"5","000-281-554-875-962","1"
"6","000-311-250-472-915","1"
"7","000-320-672-752-794","2"
"8","000-329-490-788-869","1"
"9","000-479-461-791-069","1"
"10","000-933-635-218-121","2"
"11","001-159-652-823-004","3"
"12","001-218-196-204-484","2"
"13","001-308-274-182-356","2"
"14","001-741-565-205-922","1"
"15","001-852-653-099-092","1"
"16","002-016-799-105-785","1"
"17","002-034-649-696-718","1"
"18","002-234-862-186-238","1"
"19","002-248-790-080-705","2"
"20","002-262-285-007-84X","1"
"21","002-848-247-970-406","2"
"22","002-916-363-298-786","2"
"23","002-937-270-631-538","2"
"24","003-079-703-747-674","1"
"25","003-232-594-172-08X","2"
"26","003-418-985-763-085","1"
"27","003-443-766-302-478","1"
"28","003-460-280-575-85X","1"
"29","003-557-159-421-139","1"
"30","003-617-703-274-032","1"
"31","003-815-496-301-575","3"
"32","004-093-821-711-477","2"
"33","004-252-265-840-029","2"
"34","004-334-484-941-427","3"
"35","004-370-090-982-806","3"
"36","004-703-632-577-796","1"
"37","004-771-960-697-150","2"
"38","004-888-878-452-882","2"
"39","005-185-063-968-672","2"
"40","005-365-400-398-18X","4"
"41","005-673-817-557-910","1"
"42","005-704-296-707-520","2"
"43","005-734-041-777-84X","1"
"44","005-769-046-282-205","1"
"45","006-045-872-975-671","1"
"46","006-087-177-268-858","2"
"47","006-160-602-569-108","1"
"48","006-374-089-774-656","2"
"49","006-516-294-539-517","1"
"50","006-721-749-815-577","1"
"51","006-902-184-255-332","2"
"52","006-959-065-973-881","1"
"53","007-033-386-427-408","1"
"54","007-218-669-697-441","1"
"55","007-243-303-723-240","3"
"56","007-274-861-002-634","1"
"57","007-345-255-242-473","2"
"58","007-361-282-044-640","1"
"59","007-472-994-377-947","2"
"60","007-487-002-906-765","1"
"61","007-751-667-195-881","2"
"62","007-925-989-089-755","1"
"63","007-985-273-091-256","2"
"64","008-119-541-049-261","3"
"65","008-125-115-932-511","2"
"66","008-380-052-396-94X","2"
"67","008-409-969-174-333","4"
"68","008-467-759-539-985","2"
"69","008-540-892-409-627","2"
