abandon
abat
abat non
abil
abil natur
abil reduc
abil remnant
abil retain
abil riparian
abil veget
abiot
abiot factor
abl
abl persist
abov
abov belowground
abov ground
abov tile
aboveground
aboveground biomass
aboveground carbon
absenc
absent
absolut
absorpt
abstract
abstract abund
abstract agricultur
abstract agrienviron
abstract appear
abstract effect
abstract field
abstract general
abstract grass
abstract ground
abstract hedgerow
abstract introduct
abstract investig
abstract loss
abstract question
abstract riparian
abstract runoff
abstract seri
abstract spatial
abstract studi
abstract survey
abstract veget
abstract water
abund
abund abund
abund accord
abund activ
abund adjac
abund adult
abund agricultur
abund annual
abund aphidophag
abund associ
abund benefici
abund biomass
abund bird
abund border
abund carabid
abund certain
abund clear
abund common
abund communiti
abund compar
abund composit
abund crop
abund declin
abund did
abund differ
abund direct
abund distribut
abund divers
abund ecolog
abund enhanc
abund field
abund flower
abund grass
abund greater
abund group
abund hedgerow
abund herbivor
abund higher
abund increas
abund individu
abund insect
abund invertebr
abund larg
abund litter
abund lower
abund macromoth
abund main
abund margin
abund mean
abund mobil
abund moth
abund natur
abund negat
abund orthoptera
abund parasitoid
abund pattern
abund predat
abund predatori
abund relat
abund rich
abund sampl
abund sever
abund shelterbelt
abund signific
abund small
abund sown
abund speci
abund studi
abund time
abund use
abund vari
abund veget
abund wide
abutilon
abutilon theophrasti
acceler
accept
accept level
access
access food
access nectar
access stream
accident
accommod
accompani
accomplish
accomplish costeffect
accord
account
account effect
account spatial
account total
account variat
accumul
accumul becom
accumul evalu
accumul greatest
accumul riparian
accur
accuraci
acer
acetylen
achiev
achiev desir
achiev goal
achiev high
achiev reduct
achiev smaller
acid
acreag
act
act biolog
act protect
act refugia
act sink
act sourc
action
activ
activ convent
activ dea
activ densiti
activ dure
activ general
activ increas
activ microbi
activ signific
activ soil
activ water
activ wsa
activitydens
activitydens field
activitydens speci
actor
actual
actual flow
acut
ac−
ad
adapt
addit
addit divers
addit environment
addit estim
addit factor
addit habitat
addit provid
addit reduct
addit speci
address
address challeng
address impact
address issu
adequ
adequ estim
adher
adjac
adjac agricultur
adjac arabl
adjac area
adjac boundari
adjac cereal
adjac conserv
adjac control
adjac cotton
adjac crop
adjac cropland
adjac cultiv
adjac ditch
adjac farm
adjac farmland
adjac fenc
adjac field
adjac flower
adjac forest
adjac grass
adjac grasslandshrub
adjac habitat
adjac hedg
adjac hedgerow
adjac intens
adjac land
adjac larg
adjac maiz
adjac margin
adjac pastur
adjac perman
adjac plant
adjac remnant
adjac riparian
adjac row
adjac seminatur
adjac shelterbelt
adjac site
adjac sown
adjac stream
adjac veget
adjac vineyard
adjac watercours
adjac wheat
adjac wide
adjac wood
adjac woodi
adjoin
adjoin arabl
adjoin grassi
adjust
adopt
adopt conserv
adopt farmer
adsorb
adsorb herbicid
adsorpt
adsorpt desorpt
adult
adult nymph
advanc
advantag
advect
advect process
advers
advers affect
advis
advisor
advoc
advoc integr
advoc use
ae
ae aim
ae consid
ae enhanc
ae main
ae manag
ae option
ae prescript
ae therefor
aerial
aerial dispers
aeric
aesthet
aesthet valu
aestivum
affect
affect abund
affect bird
affect concentr
affect differ
affect distribut
affect field
affect forag
affect glyphos
affect hedgerow
affect impact
affect input
affect local
affect movement
affect mow
affect nest
affect number
affect overal
affect popul
affect presenc
affect rate
affect runoff
affect soil
affect speci
affect spider
affect surviv
affect tree
affect weed
affin
afford
afforest
afforest riparian
afterward
agb
agb grass
age
age adjac
age class
age number
age shelterbelt
age soil
age speci
age wildflow
age year
agelaius
agelaius phoeniceus
agenc
agenc establish
agent
aggreg
aggreg identifi
aggreg size
aggreg stabil
aggreg wsa
aggress
agonum
agrarian
agre
agreement
agreement observ
agreement target
agresti
agric
agrichem
agricultur
agricultur activ
agricultur area
agricultur best
agricultur catchment
agricultur chang
agricultur colleg
agricultur conserv
agricultur contamin
agricultur crop
agricultur ecosystem
agricultur environ
agricultur experi
agricultur experiment
agricultur field
agricultur grassland
agricultur habitat
agricultur howev
agricultur intens
agricultur intensif
agricultur land
agricultur landscap
agricultur landus
agricultur lowland
agricultur manag
agricultur midwestern
agricultur nonpoint
agricultur pest
agricultur polici
agricultur pollin
agricultur practic
agricultur product
agricultur provid
agricultur riparian
agricultur runoff
agricultur sandi
agricultur set
agricultur soil
agricultur sourc
agricultur stream
agricultur surfac
agricultur urban
agricultur usda
agricultur use
agricultur watersh
agricultur waterway
agriculturedomin
agrienviron
agrienviron measur
agrienviron option
agrienviron scheme
agrienvironment
agrienvironment polici
agrienvironment scheme
agrochem
agrochem applic
agrochem drift
agroecolog
agroecosystem
agroecosystem manag
agroecosystem poor
agroenvironment
agroforestri
agroforestri buffer
agroforestri grass
agroforestri practic
agroforestri treatment
agroforestri watersh
agronom
agronom oper
agronom practic
agrosti
agrosti gigantea
agrosystem
agrotoler
ahorizon
aid
aim
aim assess
aim compar
aim conserv
aim determin
aim develop
aim enhanc
aim examin
aim identifi
aim increas
aim investig
aim paper
aim promot
aim provid
aim studi
aim test
aim verifi
air
air flux
air temperatur
airborn
akaik
akaik inform
aksarben
aksarben silti
alachlor
alauda
alauda arvensi
alba
alder
alder alnus
alder stand
alfalfa
alfalfa field
alfalfa medicago
alga
algal
alkalin
allow
allow higher
allow regener
alluvi
alluvi plain
alluvi valley
alnus
alon
alon suffici
alongsid
alongsid watercours
alpha
alreadi
alter
alter communiti
alter soil
altern
altern habitat
altern host
altern method
altogeth
aluminium
alway
amaranthus
amaranthus retroflexus
amelior
amend
amend poultri
amend soil
america
american
americana
americana redwing
ammodramus
ammodramus savannarum
ammonia
ammonia nitrat
ammonium
ammonium total
ammoniumn
anaerob
analog
analys
analys indic
analys relat
analys result
analys spatial
analys use
analys veget
analysi
analysi account
analysi base
analysi clear
analysi covari
analysi habitat
analysi indic
analysi pca
analysi reveal
analysi use
analysi varianc
analyt
analyz
analyz effect
analyz sediment
analyz total
ancient
ancient hedgerow
andersonvitaph
andersonvitaph univers
andor
andor larger
anemochor
anethum
anethum graveolen
angl
anglia
ani
ani runoff
ani site
ani treatment
ani type
anim
anim manur
anim product
anim speci
anim wast
anion
anion soil
anisantha
anisantha sterili
annual
annual applic
annual biennial
annual crop
annual cut
annual emiss
annual herbicid
annual increment
annual mow
annual perenni
annual rowcrop
annual soil
annual speci
annual total
annual weed
anoth
anova
ant
ant solenopsi
antagonist
anteced
anteced moistur
anteced soil
anthocorida
anthriscus
anthriscus sylvestri
anthropogen
anthropogen modif
antibiot
antibiot transport
aparin
apart
aphi
aphi glycin
aphid
aphid abund
aphid aphi
aphid compar
aphid control
aphid densiti
aphid infest
aphid parasitoid
aphid popul
aphid predat
aphid prey
aphid speci
aphidida
aphidophag
aphidophag hoverfli
aphidophag predat
aphidophag speci
aphidophag syrphid
apida
apodemus
apodemus flavicolli
apodemus sylvaticus
appar
appar competit
appar respons
appear
appear effect
appear import
appear influenc
appear publicpdf
appear shortpdf
appear unsuit
appl
appl orchard
appli
appli agricultur
appli ecolog
appli experiment
appli field
appli grass
appli increas
appli manur
appli method
appli plot
appli rate
appli similar
appli sourc
appli wastewat
appli wide
applic
applic area
applic differ
applic dure
applic examin
applic habitat
applic manur
applic meet
applic poultri
applic provis
applic rate
applic result
applic sampl
applic season
applic slurri
applic studi
applic swine
apprais
appreci
approach
approach evalu
approach field
approach involv
approach reduc
approach use
appropri
appropri manag
approx
approxim
approxim fold
approxim incom
approxim million
approxim year
april
aquat
aquat ecosystem
aquat environ
aquat invertebr
aquat macroinvertebr
aquif
arabl
arabl area
arabl crop
arabl farm
arabl farmland
arabl field
arabl grassland
arabl land
arabl landscap
arabl product
arabl soil
arabl weed
aranea
araneida
araneus
arcgi
architectur
architectur complex
architectur invertebr
architectur structur
area
area adjac
area affect
area agricultur
area altern
area amend
area buffer
area clear
area common
area compar
area consist
area contain
area control
area cover
area crop
area demonstr
area despit
area did
area differ
area dure
area especi
area establish
area expos
area field
area flower
area greater
area harvest
area ha−
area hedgerow
area high
area howev
area import
area includ
area increas
area index
area indic
area intens
area investig
area key
area land
area landscap
area main
area mean
area microclim
area middl
area northern
area onli
area organ
area plant
area prairi
area probabl
area radius
area rang
area ratio
area receiv
area refug
area reservoir
area riparian
area shelterbelt
area signific
area studi
area surround
area total
area use
area water
area wildflow
area wildlif
area winter
area wood
area woodland
area year
arena
argentina
argiudol
arion
arion fasciatus
arion lusitanicus
aris
arrang
arrang balanc
array
array flower
arriv
arthropod
arthropod abund
arthropod communiti
arthropod conserv
arthropod divers
arthropod group
arthropod natur
arthropod predat
arthropod speci
arthropod taxa
articl
artifici
arundinacea
arundinacea schreb
arundinaria
arundinaria gigantea
arvali
arvens
arvensi
ascertain
ash
asid
ask
aspect
assay
assemblag
assemblag composit
assemblag differ
assemblag domin
assemblag relat
assemblag signific
